name,address1,city,state,code,country,website,descript
Crooked River Brewing,,Cleveland,Ohio,,United States,,
Crooked Waters Brewing,,Peoria,Illinois,,United States,,
Cropton Brewery,Cropton,Pickering,North Yorkshire,,United Kingdom,,
Cucapa Brewing Company,,Mexicali,Baja,,Mexico,http://www.cucapa.com/,"Craft beer, just across the border."
Cugino Brewing Company,1501 East Wilson,Batavia,Illinois,60510,United States,,
Cumberland Brewery,1576 Bardstown Rd,Louisville,Kentucky,40205,United States,,"Giving new meaning to the term microbrewery, Cumberland Brews may be one of the smallest eateries in town, with a half-dozen four-top tables and a short bar with nine stools making tight quarters of what used to be the White Mountain Creamery. (Techically, it's not a microbrewery but a brewpub - a restaurant that makes its own beer on the premises - but I'm not one to quibble in the face of a good pun.) It's usually packed, too, earning its crowds the old-fashioned way by providing very good food, friendly service, and the sine qua non for a brewpub: extremely high-quality hand-crafted artisan beers. Hand-crafted offerings are produced by Head Brewer Cameron Finnis."
D.L. Geary Brewing Company,38 Evergreen Drive,Portland,Maine,4103,United States,http://www.gearybrewing.com,"The D.L. Geary Brewing Company was incorporated in October, 1983 by David and Karen Geary who shared the vision of producing world class products on a small scale for local and regional consumption. At that time, there were only 13 so-called microbreweries in the United States, almost all of them in California and the Pacific Northwest. In the winter of 1984, David Geary began a period of training and research in Scotland and England. With the help of Peter Maxwell Stuart, a Scottish nobleman and brewer who arranged introductions and itineraries, he worked in a half-dozen small commercial breweries from the highlands of Scotland to the south coast of England."
Daas,,Tournai,,,Belgium,http://www.daasbeer.com/,Daas beers are organically brewed Belgium beer produced in Hainaut the famous Belgian province known for its fine hand crafted beers.
Daleside Brewery,Camwal Road,Harrogate,North Yorkshire,,United Kingdom,,
Dark Horse Brewing Co.,511 S. Kalamazoo Ave.,Marshall,Michigan,49068,United States,http://www.darkhorsebrewery.com/,
Day Brewing,,Marrero,Louisiana,,United States,,
de dochter van de korenaar,pastoor de katerstraat 24,baarle-hertog,,2387,Belgium,http://www.dedochtervandekorenaar.be,
De Friese Bierbrouwerij Us Heit,Snekerstraat 43,Bolsward,,,Netherlands,,
De Halve Maan,Walplein 26,Brugge,West-Vlaanderen,BE-8000,Belgium,http://www.halvemaan.be/,
De Leyerth Brouwerijen,Krommekeerstraat 21,Ruiselede,West-Vlaanderen,,Belgium,,
De Proef Brouwerij,Doornzelestraat 20,Lochristi-Hijfte,Oost-Vlaanderen,,Belgium,,
De Struise Brouwers,Woesten,Woesten,West-Vlaanderen,,Belgium,http://www.struisebrouwers.be/,
Deep Creek Brewing,,McHenry,Maryland,,United States,,
DeGroen's Grill,,Baltimore,Maryland,,United States,,
Del Mar Stuft Pizza and Brewing,,San Diego,California,,United States,,
Delafield Brewhaus,3832 Hillside Drive,Delafield,Wisconsin,53018,United States,,
Dempsey's Restaurant & Brewery,50 East Washington Street,Petaluma,California,94952,United States,,
Denmark Brewing,,Denmark,Wisconsin,,United States,,
Denver ChopHouse and Brewery,1735 19th Street #100,Denver,Colorado,80202,United States,,
